SNAPSHOT_DATE,TOTAL_STAKED_AMOUNT
2025-07-31,659665435.619377
2025-07-30,659680885.353757
2025-07-29,660096744.701163
2025-07-28,660761226.6102
2025-07-27,660550212.970174
2025-07-26,661766408.929461
2025-07-25,661851053.400874
2025-07-24,663884385.009398
2025-07-23,664133012.415696
2025-07-22,666582487.868058
2025-07-21,670543872.719271
2025-07-20,671407340.527056
2025-07-19,672834444.108266
2025-07-18,672484859.456604
2025-07-17,673274465.973073
2025-07-16,672793619.295651
2025-07-15,672877909.425862
2025-07-14,672926731.598808
2025-07-13,673475200.442515
2025-07-12,674916733.11229
2025-07-11,675489707.676448
2025-07-10,675430828.532616
2025-07-09,676189583.879472
2025-07-08,675381060.350218
2025-07-07,679471689.816274
2025-07-06,679329889.741122
2025-07-05,679953191.127476
2025-07-04,679340231.023873
2025-07-03,679280754.817568
2025-07-02,665674132.506842
2025-07-01,665177028.397753
2025-06-30,665261281.210363
2025-06-29,665594809.579668
2025-06-28,665785390.876128
2025-06-27,666798692.321308
2025-06-26,666616839.495844
2025-06-25,667613346.844115
2025-06-24,668616849.253416
2025-06-23,669463538.588147
2025-06-22,672617920.714567
2025-06-21,674945226.910894
2025-06-20,672747843.644575
2025-06-19,673668694.869946
2025-06-18,673651336.022802
2025-06-17,674449889.619738
2025-06-16,674307797.097695
2025-06-15,674858125.56955
2025-06-14,675086865.916915
2025-06-13,675401445.664234
2025-06-12,675417776.749621
2025-06-11,675592667.972526
2025-06-10,677636328.26773
2025-06-09,677924050.839705
2025-06-08,678871219.239115
2025-06-07,679696708.017896
2025-06-06,681131406.052068
2025-06-05,680945314.603121
2025-06-04,679301744.10516
2025-06-03,678739290.702726
2025-06-02,673455414.866596
2025-06-01,673794975.906955
2025-05-31,674169954.991056
2025-05-30,674328714.690037
2025-05-29,674464505.469291
2025-05-28,675296088.842313
2025-05-27,675855484.175455
2025-05-26,676521126.123885
2025-05-25,676777048.232418
2025-05-24,677671405.343293
2025-05-23,678680184.775364
2025-05-22,681956142.61911
2025-05-21,675594547.757832
2025-05-20,660438217.358388
2025-05-19,659221877.656393
2025-05-18,656830988.669268
2025-05-17,656030475.050588
2025-05-16,656792554.788249
2025-05-15,656914883.620257
2025-05-14,655547096.946581
2025-05-13,655096149.78833
2025-05-12,655528021.462284
2025-05-11,655560679.258663
2025-05-10,656620422.935479
2025-05-09,660625346.209798
2025-05-08,662661919.941301
2025-05-07,662631737.384278
2025-05-06,663487710.61806
2025-05-05,664530725.127379
2025-05-04,663938347.638226
2025-05-03,669556343.115107
2025-05-02,671026173.217638
2025-05-01,671631034.61484
2025-04-30,673328406.913302
2025-04-29,674232749.215228
2025-04-28,679816564.019519
2025-04-27,680937930.25695
2025-04-26,679044842.711393
2025-04-25,676840293.842388
2025-04-24,675126885.934417
2025-04-23,671094630.658339
2025-04-22,666021356.302142
2025-04-21,665601262.183176
2025-04-20,665543513.027563
2025-04-19,665115794.48688
2025-04-18,662353061.966993
2025-04-17,660766817.902087
2025-04-16,660010246.733096
2025-04-15,659530119.894886
2025-04-14,658988533.170664
2025-04-13,657164027.345782
2025-04-12,656575467.462997
2025-04-11,654814372.617884
2025-04-10,647611281.235195
2025-04-09,625027816.826536
2025-04-08,612016400.504221
2025-04-07,612365923.103959
2025-04-06,613090724.293196
2025-04-05,613604000.242186
2025-04-04,617989814.859973
2025-04-03,617905048.499204
2025-04-02,618378249.374219
2025-04-01,613627982.991589
2025-03-31,613347301.41649
2025-03-30,610396118.340706
2025-03-29,606893790.374018
2025-03-28,604548410.802201
2025-03-27,604747314.357463
2025-03-26,605633445.93632
2025-03-25,606121117.74396
2025-03-24,606962623.236663
2025-03-23,607401136.675853
2025-03-22,607888249.676489
2025-03-21,608841385.980639
2025-03-20,609701744.075362
2025-03-19,610421412.112907
2025-03-18,611436376.578697
2025-03-17,611572722.207111
2025-03-16,613617098.875991
2025-03-15,617537811.861554
2025-03-14,621953872.323316
2025-03-13,621996800.235692
2025-03-12,620636094.274739
2025-03-11,620566976.887317
2025-03-10,620094556.798288
2025-03-09,616531323.645175
2025-03-08,612560394.504878
2025-03-07,609253087.981671
2025-03-06,590969404.293741
2025-03-05,584377683.39604
2025-03-04,590652063.076411
2025-03-03,590398630.64062
2025-03-02,590891343.146504
2025-03-01,569216946.33336
2025-02-28,557736154.615991
2025-02-27,547914592.821817
2025-02-26,538468685.060664
2025-02-25,530784581.812287
2025-02-24,526809452.621106
2025-02-23,526860410.556087
2025-02-22,528265247.541403
2025-02-21,530823157.294261
2025-02-20,530963178.229532
2025-02-19,529423705.898056
2025-02-18,528432869.375088
2025-02-17,525500586.486369
2025-02-16,521938580.57408
2025-02-15,520166258.429613
2025-02-14,519302921.485518
2025-02-13,503653305.060143
2025-02-12,476556446.768145
2025-02-11,475898178.203026
2025-02-10,474631713.33549
2025-02-09,474082896.534109
2025-02-08,473357118.69863
2025-02-07,472061231.998685
2025-02-06,471297030.040842
2025-02-05,470562471.579237
2025-02-04,469894405.743427
2025-02-03,468518762.058641
2025-02-02,466106179.096627
2025-02-01,458071168.354164
2025-01-31,455203207.297654
2025-01-30,454250667.484964
2025-01-29,453495168.410607
2025-01-28,451597198.555445
2025-01-27,452149612.782723
2025-01-26,447343310.682497
2025-01-25,441308634.31539
2025-01-24,434431576.60173
2025-01-23,428417196.040195
2025-01-22,412594244.046747
2025-01-21,378318206.246942
2025-01-20,379154993.394122
2025-01-19,379602476.669029
2025-01-18,380797277.932243
2025-01-17,381879694.769644
2025-01-16,382967141.697397
2025-01-15,384959020.567114
2025-01-14,386663511.704769
2025-01-13,386896464.687348
2025-01-12,387521700.589334
2025-01-11,388066809.41603
2025-01-10,388706820.259839
2025-01-09,389573752.520247
2025-01-08,392892665.587486
2025-01-07,393496694.559372
2025-01-06,394867789.383258
2025-01-05,395203995.020185
2025-01-04,396396591.661272
2025-01-03,398479627.463097
2025-01-02,404834274.130056
2025-01-01,405382909.574804
2024-12-31,405859819.068487
2024-12-30,406391453.937974
2024-12-29,408538197.52316
2024-12-28,409485907.7181
2024-12-27,409894585.777538
2024-12-26,412218387.255514
2024-12-25,416675153.731404
2024-12-24,417963989.924659
2024-12-23,418179713.852825
2024-12-22,419103880.253232
2024-12-21,419675530.430392
2024-12-20,420197583.103796
2024-12-19,420259949.60167
2024-12-18,419987006.331274
2024-12-17,420615034.996636
2024-12-16,424087994.542316
2024-12-15,424539467.147066
2024-12-14,424591257.171048
2024-12-13,425441207.518295
2024-12-12,426255706.450474
2024-12-11,427740440.026069
2024-12-10,428520997.387004
2024-12-09,428956748.369915
2024-12-08,429231623.188498
2024-12-07,430583089.769918
2024-12-06,431219755.115476
2024-12-05,431061552.26526
2024-12-04,430325379.600921
2024-12-03,429594301.854272
2024-12-02,429495987.732562
2024-12-01,429619197.306969
2024-11-30,430301614.559797
2024-11-29,434946228.164079
2024-11-28,437255875.692251
2024-11-27,438263255.023371
2024-11-26,440464948.612656
2024-11-25,444086960.906058
2024-11-24,447695776.871362
2024-11-23,448636059.780086
2024-11-22,449089986.709732
2024-11-21,449140779.837967
2024-11-20,450556513.245996
2024-11-19,452675215.812741
2024-11-18,448642388.725236
2024-11-17,447892679.871076
2024-11-16,446412804.574256
2024-11-15,445083699.561941
2024-11-14,444948316.090703
2024-11-13,444670280.665345
2024-11-12,444656687.491949
2024-11-11,444738653.314249
2024-11-10,444561808.474189
2024-11-09,444560355.448076
2024-11-08,444034249.49929
2024-11-07,443503353.225003
2024-11-06,444303671.190271
2024-11-05,444076406.932554
2024-11-04,444226811.564468
2024-11-03,444165872.803541
2024-11-02,443309087.95526
2024-11-01,443394149.176738
2024-10-31,445097401.287625
2024-10-30,445927425.664551
2024-10-29,445885747.382623
2024-10-28,441913731.435724
2024-10-27,438618694.123307
2024-10-26,438109301.922799
2024-10-25,434530653.600338
2024-10-24,431171993.486559
2024-10-23,428996885.349619
2024-10-22,425144889.843844
2024-10-21,416014235.899909
2024-10-20,381614370.559047
2024-10-19,380435893.874227
2024-10-18,378570869.007559
2024-10-17,379403596.985894
2024-10-16,379451709.224271
2024-10-15,379332041.272036
2024-10-14,379583581.080538
2024-10-13,379459024.218853
2024-10-12,379269319.510682
2024-10-11,379229577.352225
2024-10-10,379213491.707167
2024-10-09,379731149.060879
2024-10-08,379650082.179288
2024-10-07,379584653.742328
2024-10-06,380168883.773583
2024-10-05,380296272.622161
2024-10-04,380376867.299984
2024-10-03,380549370.098212
2024-10-02,380462300.862081
2024-10-01,380369637.806941
2024-09-30,376633847.9605
2024-09-29,374773857.728472
2024-09-28,369959812.806734
2024-09-27,364325522.703789
2024-09-26,362868308.866865
2024-09-25,362775330.083426
2024-09-24,361880232.998302
2024-09-23,362051913.272428
2024-09-22,362810304.516981
2024-09-21,362875409.932023
2024-09-20,363048706.459643
2024-09-19,363528321.469912
2024-09-18,363666382.701872
2024-09-17,363849296.396025
2024-09-16,363968814.912594
2024-09-15,364259977.166928
2024-09-14,364479775.426658
2024-09-13,364832760.331498
2024-09-12,365167402.578594
2024-09-11,360543409.57948
2024-09-10,358795462.135321
2024-09-09,357215653.858754
2024-09-08,356273177.75148
2024-09-07,356361754.0276
2024-09-06,356807027.399947
2024-09-05,356946747.333744
2024-09-04,357198370.518133
2024-09-03,357664499.030946
2024-09-02,358453306.471875
2024-09-01,359482097.077203
2024-08-31,359917067.596969
2024-08-30,361028901.652103
2024-08-29,360777405.701442
2024-08-28,362248147.000368
2024-08-27,362369054.210034
2024-08-26,359021214.639541
2024-08-25,356748723.787665
2024-08-24,356286655.022956
2024-08-23,355911069.791104
2024-08-22,354414432.511849
2024-08-21,354183459.60634
2024-08-20,354946480.127657
2024-08-19,355181131.483987
2024-08-18,355740210.140539
2024-08-17,356273401.341481
2024-08-16,356771964.278454
2024-08-15,357598739.492386
2024-08-14,358174270.947085
2024-08-13,358540628.096298
2024-08-12,358848126.427945
2024-08-11,359098043.749135
2024-08-10,359380935.170307
2024-08-09,360233200.50247
2024-08-08,361427429.138906
2024-08-07,362101114.369035
2024-08-06,364051276.970808
2024-08-05,366737054.817378
2024-08-04,372053582.308152
2024-08-03,364035394.243409
2024-08-02,358072671.334055
2024-08-01,352735951.255247
2024-07-31,348090099.991805
2024-07-30,347637564.801625
2024-07-29,347324720.419087
2024-07-28,346857760.237453
2024-07-27,344472062.233178
2024-07-26,339511236.493342
2024-07-25,338596102.307811
2024-07-24,338359222.459336
2024-07-23,337966666.855695
2024-07-22,337890804.348421
2024-07-21,337675291.843516
2024-07-20,337043815.104493
2024-07-19,335990716.235821
2024-07-18,336133715.385958
2024-07-17,335827370.514345
2024-07-16,336126600.476057
2024-07-15,335542917.689887
2024-07-14,334919440.669695
2024-07-13,334611449.247006
2024-07-12,334015263.67698
2024-07-11,333469151.328558
2024-07-10,332852315.517174
2024-07-09,331756729.339628
2024-07-08,325933215.236708
2024-07-07,321789000.098445
2024-07-06,313579885.322741
2024-07-05,286211128.007489
2024-07-04,284124387.980372
2024-07-03,284233790.210566
2024-07-02,283901642.962139
2024-07-01,285425600.146617
2024-06-30,285706901.665892
2024-06-29,286245861.394266
2024-06-28,286242484.208147
2024-06-27,286503716.586677
2024-06-26,287015424.360281
2024-06-25,287429759.764495
2024-06-24,287862274.335725
2024-06-23,288038169.103544
2024-06-22,289401377.500251
2024-06-21,289434498.69561
2024-06-20,289338321.759533
2024-06-19,288793938.565177
2024-06-18,287459258.655655
2024-06-17,286371381.009536
2024-06-16,285707384.115399
2024-06-15,285268985.437083
2024-06-14,286797684.052335
2024-06-13,286762652.747126
2024-06-12,286762833.340761
2024-06-11,286717836.784016
2024-06-10,286953748.101065
2024-06-09,286903968.47235
2024-06-08,287034242.126458
2024-06-07,287319894.543258
2024-06-06,287711587.997889
2024-06-05,287985465.989622
2024-06-04,288740084.473314
2024-06-03,288707800.684479
2024-06-02,289279628.35165
2024-06-01,289669278.161934
2024-05-31,290044660.797694
2024-05-30,290316681.241943
2024-05-29,290434613.463492
2024-05-28,290336798.39943
2024-05-27,290551382.594007
2024-05-26,290862630.873591
2024-05-25,291197921.586386
2024-05-24,289818317.222157
2024-05-23,288760691.688747
2024-05-22,286142292.920933
2024-05-21,284432003.061209
2024-05-20,284772103.22822
2024-05-19,285177191.702264
2024-05-18,285627762.447587
2024-05-17,286148119.557997
2024-05-16,285918576.17871
2024-05-15,285642816.426853
2024-05-14,286142681.898821
2024-05-13,285797028.0642
2024-05-12,285568659.671667
2024-05-11,285602988.795431
2024-05-10,285626041.900262
2024-05-09,287911222.835126
2024-05-08,288124336.089033
2024-05-07,288247039.928865
2024-05-06,288690298.712031
2024-05-05,289646726.388352
2024-05-04,289480891.900228
2024-05-03,288323867.655262
2024-05-02,287787674.178418
2024-05-01,287066163.371523
2024-04-30,287782694.25851
2024-04-29,287240207.100412
2024-04-28,287172159.967134
2024-04-27,287457772.696374
2024-04-26,287365985.715736
2024-04-25,288892752.217013
2024-04-24,288985316.835194
2024-04-23,288820519.983374
2024-04-22,288810941.265535
2024-04-21,287192136.76807
2024-04-20,286721369.368578
2024-04-19,283193641.984046
2024-04-18,279021940.102241
2024-04-17,273851809.49602
2024-04-16,269539951.543227
2024-04-15,268975055.111922
2024-04-14,269442936.986547
2024-04-13,268863663.785915
2024-04-12,267757955.449729
2024-04-11,269714163.714966
2024-04-10,269138797.284671
2024-04-09,269642068.545206
2024-04-08,270218435.820179
2024-04-07,270553680.070973
2024-04-06,272181716.498748
2024-04-05,272487187.061412
2024-04-04,272314428.870319
2024-04-03,271350707.36948
2024-04-02,269854340.773603
2024-04-01,268168880.637394
2024-03-31,264149322.240547
2024-03-30,261149475.494131
2024-03-29,254609221.621633
2024-03-28,251942968.054588
2024-03-27,249920793.06999
2024-03-26,247089366.92734
2024-03-25,244935552.850324
2024-03-24,243213677.227037
2024-03-23,242327624.198338
2024-03-22,241184953.019712
2024-03-21,240031246.082249
2024-03-20,238954475.759191
2024-03-19,237360027.963594
2024-03-18,236595818.953804
2024-03-17,234662489.654016
2024-03-16,233350829.979989
2024-03-15,230288487.019488
2024-03-14,228488983.709932
2024-03-13,226416648.461626
2024-03-12,223433696.557927
2024-03-11,221577858.185129
2024-03-10,218429327.630256
2024-03-09,195250642.41891
2024-03-08,180875130.538897
2024-03-07,164481347.204101
2024-03-06,116434452.091184
2024-03-05,58334462.373473
2024-03-04,1652638.710024
2024-03-03,1652633.409845
2024-03-02,1652605.222734
2024-03-01,1652604.774586
2024-02-29,1652438.068459
2024-02-28,1652440.153728
2024-02-23,1652440.143728
2024-02-22,1652330.143728
2024-02-21,1652000
2024-02-20,1250000
