DATE,ACTIVE_WALLETS
2025-07-29,416004
2025-07-28,416060
2025-07-27,416270
2025-07-26,416355
2025-07-25,416440
2025-07-24,416586
2025-07-23,416720
2025-07-22,416840
2025-07-21,417014
2025-07-20,417476
2025-07-19,417694
2025-07-18,417757
2025-07-17,417867
2025-07-16,418114
2025-07-15,418306
2025-07-14,418408
2025-07-13,418579
2025-07-12,418721
2025-07-11,418859
2025-07-10,419057
2025-07-09,419274
2025-07-08,419446
2025-07-07,419470
2025-07-06,419534
2025-07-05,419591
2025-07-04,419604
2025-07-03,419425
2025-07-02,418492
2025-07-01,417204
2025-06-30,417407
2025-06-29,417795
2025-06-28,418101
2025-06-27,418293
2025-06-26,418493
2025-06-25,418698
2025-06-24,419032
2025-06-23,419418
2025-06-22,419836
2025-06-21,420208
2025-06-20,420500
2025-06-19,420886
2025-06-18,421163
2025-06-17,421443
2025-06-16,421680
2025-06-15,422069
2025-06-14,422331
2025-06-13,422591
2025-06-12,422993
2025-06-11,423245
2025-06-10,423677
2025-06-09,424095
2025-06-08,424458
2025-06-07,424805
2025-06-06,424975
2025-06-05,425061
2025-06-04,425078
2025-06-03,425185
2025-06-02,425676
2025-06-01,427972
2025-05-31,428197
2025-05-30,428390
2025-05-29,428511
2025-05-28,428681
2025-05-27,430522
2025-05-26,431311
2025-05-25,431740
2025-05-24,432067
2025-05-23,432508
2025-05-22,432848
2025-05-21,433245
2025-05-20,433724
2025-05-19,434660
2025-05-18,435464
2025-05-17,435621
2025-05-16,436067
2025-05-15,436456
2025-05-14,436818
2025-05-13,437716
2025-05-12,438921
2025-05-11,439928
2025-05-10,441030
2025-05-09,442372
2025-05-08,443371
2025-05-07,443621
2025-05-06,443846
2025-05-05,444276
2025-05-04,444698
2025-05-03,445086
2025-05-02,445904
2025-05-01,446655
2025-04-30,447016
2025-04-29,447267
2025-04-28,447902
2025-04-27,448817
2025-04-26,450999
2025-04-25,451229
2025-04-24,451297
2025-04-23,451828
2025-04-22,452182
2025-04-21,452576
2025-04-20,452801
2025-04-19,452891
2025-04-18,453049
2025-04-17,453548
2025-04-16,453969
2025-04-15,454650
2025-04-14,454985
2025-04-13,455317
2025-04-12,455455
2025-04-11,455705
2025-04-10,455739
2025-04-09,454661
2025-04-08,453743
2025-04-07,453204
2025-04-06,453398
2025-04-05,453940
2025-04-04,454405
2025-04-03,454807
2025-04-02,455377
2025-04-01,456055
2025-03-31,456701
2025-03-30,458279
2025-03-29,459142
2025-03-28,460092
2025-03-27,460846
2025-03-26,461963
2025-03-25,463928
2025-03-24,466416
2025-03-23,468344
2025-03-22,469689
2025-03-21,470935
2025-03-20,471874
2025-03-19,474146
2025-03-18,475758
2025-03-17,477812
2025-03-16,480472
2025-03-15,484295
2025-03-14,485797
2025-03-13,486090
2025-03-12,486022
2025-03-11,486426
2025-03-10,486025
2025-03-09,487408
2025-03-08,487713
2025-03-07,487777
2025-03-06,487239
2025-03-05,486134
2025-03-04,484142
2025-03-03,485045
2025-03-02,485887
2025-03-01,485607
2025-02-28,487371
2025-02-27,489669
2025-02-26,490089
2025-02-25,491843
2025-02-24,494168
2025-02-23,498771
2025-02-22,499711
2025-02-21,501458
2025-02-20,502538
2025-02-19,503445
2025-02-18,503593
2025-02-17,502762
2025-02-16,502741
2025-02-15,502188
2025-02-14,501128
2025-02-13,496290
2025-02-12,491507
2025-02-11,491340
2025-02-10,491297
2025-02-09,491339
2025-02-08,491303
2025-02-07,491241
2025-02-06,490702
2025-02-05,490596
2025-02-04,490720
2025-02-03,490477
2025-02-02,490241
2025-02-01,489963
2025-01-31,490081
2025-01-30,489992
2025-01-29,489332
2025-01-28,488875
2025-01-27,487725
2025-01-26,486354
2025-01-25,482718
2025-01-24,478603
2025-01-23,474634
2025-01-22,460537
2025-01-21,430199
2025-01-20,430386
2025-01-19,430582
2025-01-18,431381
2025-01-17,431814
2025-01-16,433056
2025-01-15,434490
2025-01-14,435219
2025-01-13,435314
2025-01-12,435626
2025-01-11,435857
2025-01-10,436008
2025-01-09,436429
2025-01-08,436884
2025-01-07,437146
2025-01-06,437574
2025-01-05,437874
2025-01-04,438190
2025-01-03,438701
2025-01-02,439101
2025-01-01,439498
2024-12-31,439927
2024-12-30,440325
2024-12-29,440433
2024-12-28,441976
2024-12-27,442967
2024-12-26,443031
2024-12-25,443480
2024-12-24,443878
2024-12-23,450452
2024-12-22,450612
2024-12-21,450527
2024-12-20,450750
2024-12-19,450462
2024-12-18,450534
2024-12-17,450507
2024-12-16,450894
2024-12-15,450576
2024-12-14,451038
2024-12-13,452407
2024-12-12,452797
2024-12-11,453904
2024-12-10,455370
2024-12-09,456012
2024-12-08,456254
2024-12-07,456760
2024-12-06,456815
2024-12-05,456655
2024-12-04,456621
2024-12-03,456440
2024-12-02,457042
2024-12-01,457980
2024-11-30,458890
2024-11-29,459207
2024-11-28,459409
2024-11-27,459471
2024-11-26,460567
2024-11-25,461368
2024-11-24,461862
2024-11-23,462582
2024-11-22,463581
2024-11-21,465547
2024-11-20,467687
2024-11-19,469016
2024-11-18,469547
2024-11-17,469899
2024-11-16,470299
2024-11-15,470434
2024-11-14,470860
2024-11-13,471294
2024-11-12,471340
2024-11-11,471340
2024-11-10,471627
2024-11-09,471783
2024-11-08,471826
2024-11-07,472490
2024-11-06,472425
2024-11-05,472447
2024-11-04,472238
2024-11-03,472123
2024-11-02,472199
2024-11-01,472231
2024-10-31,472260
2024-10-30,471940
2024-10-29,472646
2024-10-28,471511
2024-10-27,469323
2024-10-26,468015
2024-10-25,466489
2024-10-24,465259
2024-10-23,464605
2024-10-22,464056
2024-10-21,461946
2024-10-20,458386
2024-10-19,458405
2024-10-18,458266
2024-10-17,458383
2024-10-16,458736
2024-10-15,458865
2024-10-14,459132
2024-10-13,459371
2024-10-12,459844
2024-10-11,460065
2024-10-10,461473
2024-10-09,461760
2024-10-08,461815
2024-10-07,462593
2024-10-06,463873
2024-10-05,464066
2024-10-04,464193
2024-10-03,464143
2024-10-02,464505
2024-10-01,464799
2024-09-30,463895
2024-09-29,463091
2024-09-28,462127
2024-09-27,461913
2024-09-26,462244
2024-09-25,463503
2024-09-24,464480
2024-09-23,464601
2024-09-22,465050
2024-09-21,465374
2024-09-20,465487
2024-09-19,465736
2024-09-18,466090
2024-09-17,466361
2024-09-16,466521
2024-09-15,466697
2024-09-14,467092
2024-09-13,468285
2024-09-12,468396
2024-09-11,466409
2024-09-10,463927
2024-09-09,463916
2024-09-08,463924
2024-09-07,464081
2024-09-06,464592
2024-09-05,464841
2024-09-04,465310
2024-09-03,465586
2024-09-02,466355
2024-09-01,467843
2024-08-31,468223
2024-08-30,469143
2024-08-29,471001
2024-08-28,472194
2024-08-27,473718
2024-08-26,472955
2024-08-25,474753
2024-08-24,475838
2024-08-23,476771
2024-08-22,477442
2024-08-21,478632
2024-08-20,479346
2024-08-19,480431
2024-08-18,482003
2024-08-17,491041
2024-08-16,491938
2024-08-15,492405
2024-08-14,493230
2024-08-13,494049
2024-08-12,494790
2024-08-11,495165
2024-08-10,496000
2024-08-09,496550
2024-08-08,497429
2024-08-07,498629
2024-08-06,500553
2024-08-05,504206
2024-08-04,506537
2024-08-03,503587
2024-08-02,500499
2024-08-01,498262
2024-07-31,497236
2024-07-30,496947
2024-07-29,496621
2024-07-28,496199
2024-07-27,495964
2024-07-26,495934
2024-07-25,495895
2024-07-24,495649
2024-07-23,495735
2024-07-22,496057
2024-07-21,496008
2024-07-20,495685
2024-07-19,495406
2024-07-18,495215
2024-07-17,494943
2024-07-16,494553
2024-07-15,494287
2024-07-14,493876
2024-07-13,493765
2024-07-12,493348
2024-07-11,492451
2024-07-10,492130
2024-07-09,491668
2024-07-08,490729
2024-07-07,488910
2024-07-06,485341
2024-07-05,479772
2024-07-04,479302
2024-07-03,479417
2024-07-02,478553
2024-07-01,478850
2024-06-30,478593
2024-06-29,479043
2024-06-28,479153
2024-06-27,479489
2024-06-26,479387
2024-06-25,479354
2024-06-24,479384
2024-06-23,479389
2024-06-22,479096
2024-06-21,478659
2024-06-20,478111
2024-06-19,477688
2024-06-18,475466
2024-06-17,473448
2024-06-16,471860
2024-06-15,471489
2024-06-14,471398
2024-06-13,471279
2024-06-12,471286
2024-06-11,471141
2024-06-10,470985
2024-06-09,470720
2024-06-08,470588
2024-06-07,470355
2024-06-06,470126
2024-06-05,469755
2024-06-04,469619
2024-06-03,469315
2024-06-02,469266
2024-06-01,468666
2024-05-31,468307
2024-05-30,468185
2024-05-29,467248
2024-05-28,466570
2024-05-27,466361
2024-05-26,466268
2024-05-25,466076
2024-05-24,453969
2024-05-23,449144
2024-05-22,444751
2024-05-21,442035
2024-05-20,441089
2024-05-19,439939
2024-05-18,439054
2024-05-17,438247
2024-05-16,437233
2024-05-15,436341
2024-05-14,435565
2024-05-13,434994
2024-05-12,434398
2024-05-11,434059
2024-05-10,433672
2024-05-09,433366
2024-05-08,432794
2024-05-07,432409
2024-05-06,432172
2024-05-05,431804
2024-05-04,426898
2024-05-03,421042
2024-05-02,417645
2024-05-01,415638
2024-04-30,414786
2024-04-29,414542
2024-04-28,413922
2024-04-27,413519
2024-04-26,413075
2024-04-25,412552
2024-04-24,411532
2024-04-23,410531
2024-04-22,409376
2024-04-21,408159
2024-04-20,406693
2024-04-19,356306
2024-04-18,333489
2024-04-17,305665
2024-04-16,290724
2024-04-15,282994
2024-04-14,276211
2024-04-13,271543
2024-04-12,268040
2024-04-11,264793
2024-04-10,261450
2024-04-09,259664
2024-04-08,257979
2024-04-07,256759
2024-04-06,255215
2024-04-05,253761
2024-04-04,251441
2024-04-03,249848
2024-04-02,246627
2024-04-01,244379
2024-03-31,239669
2024-03-30,235058
2024-03-29,229944
2024-03-28,227056
2024-03-27,225129
2024-03-26,223222
2024-03-25,221443
2024-03-24,220296
2024-03-23,219619
2024-03-22,218805
2024-03-21,217710
2024-03-20,216805
2024-03-19,216002
2024-03-18,215289
2024-03-17,214326
2024-03-16,213058
2024-03-15,211463
2024-03-14,210393
2024-03-13,209330
2024-03-12,207768
2024-03-11,206294
2024-03-10,203590
2024-03-09,170360
2024-03-08,140499
2024-03-07,117255
2024-03-06,74691
2024-03-05,29828
2024-03-04,12
2024-03-03,12
2024-03-02,11
2024-03-01,10
2024-02-29,9
2024-02-28,9
2024-02-23,9
2024-02-22,7
2024-02-21,3
2024-02-20,1
